Iteration,Average Episodic Length,Average Episodic Return,Episodic Return STD,Average Loss
1,124.44,-69.59,45.73339310566315,-0.00544
2,118.17,-84.17,46.86136943264822,-0.00181
3,156.36,-42.27,44.226984545448516,-0.00144
4,107.9,-83.56,44.24438490826954,-0.00276
5,121.0,-73.82,47.67659661262473,-0.00164
6,139.8,-53.49,46.87021912218403,-0.00206
7,142.27,-55.21,48.626631025206805,-0.00279
8,128.56,-62.3,45.522162419913705,-0.00258
9,163.08,-43.44,45.956058661549754,-0.00399
10,159.38,-45.33,42.96338896521239,-0.00074
11,180.58,-29.35,33.893178048264204,-0.00132
12,187.73,-21.59,25.160455971068846,-0.00147
13,162.08,-43.41,43.72806789331227,-0.00141
14,170.62,-34.8,38.70714586452086,-0.00167
15,177.5,-27.56,33.26074179303325,-0.00091
16,200.0,-12.54,3.6132251238463144,-0.00221
17,189.36,-22.61,26.191568910692336,-0.00137
18,190.36,-19.28,28.210684743653676,-0.00202
19,186.73,-20.57,26.119264457107505,-0.00206
20,189.45,-23.48,31.411133023125135,-0.00162
21,157.69,-42.5,44.52983596231005,-0.00317
22,114.32,-72.93,46.694435041310676,-0.00316
23,130.18,-63.77,48.0326215654345,-0.00399
24,167.85,-33.14,40.38953082299107,-0.0025
25,178.33,-28.84,34.832185093276166,-0.00179
26,200.0,-15.79,5.072191229832857,-0.00093
27,135.94,-61.37,48.36078993874858,-0.0026
28,159.93,-40.83,44.50805910424521,-0.00221
29,178.17,-29.58,34.83500475685697,-0.00183
30,177.08,-26.85,35.1565720382566,-0.0016
31,139.2,-63.38,47.99147256685986,-0.00134
32,159.38,-41.37,44.20690895709676,-0.00154
33,160.21,-39.83,41.15092456003668,-0.00323
34,187.0,-21.12,28.48468232553673,-0.0014
35,150.86,-46.22,44.85078045763878,-0.00127
36,146.2,-48.77,45.642763681236794,-0.00271
37,151.86,-47.61,45.840529110618334,-0.00408
38,182.0,-30.65,36.34291509753215,-0.00378
39,175.08,-29.88,34.710619615536324,-0.00255
40,187.73,-23.07,26.78929259708038,-0.00306
41,188.18,-22.17,27.270886620727726,-0.00132
42,200.0,-14.48,2.7173566292539917,-0.00299
43,178.25,-29.37,37.144810098283756,-0.00116
44,200.0,-14.17,2.8954313568982024,-0.00218
45,182.25,-28.99,34.78314215465506,-0.00155
46,177.0,-31.32,33.71558163341448,-0.00297
47,200.0,-15.07,3.8363605076476626,-0.00196
48,186.64,-23.42,31.090242644058456,-0.00422
49,186.18,-22.89,31.10287414452207,-0.0037
50,184.08,-30.45,38.06270961281007,-0.00284
51,176.25,-29.67,36.98591362056446,-0.00186
52,200.0,-12.81,3.582273660902362,-0.0031
53,187.82,-23.31,25.51577047914042,-0.0034
54,200.0,-12.45,2.9773739196862175,-0.00202
55,182.08,-30.34,34.48752301226016,-0.00248
56,200.0,-14.91,4.827880328851837,-0.00192
57,178.42,-28.85,35.86081037777738,-0.00365
58,200.0,-13.81,4.260889538509277,-0.00224
59,188.73,-21.19,27.344331546120387,-0.0043
60,186.55,-19.7,27.57015065634706,-0.00273
61,187.17,-20.53,26.622056992927945,-0.00219
62,200.0,-10.79,1.2449584433339245,-0.00328
63,186.18,-20.23,27.947617714188443,-0.00245
64,200.0,-12.71,2.8171073262737596,-0.00394
65,200.0,-12.87,2.304074632805523,-0.00121
66,200.0,-13.32,2.4903745379615305,-0.00331
67,200.0,-11.58,2.0827528101903634,-0.00123
68,186.33,-29.86,35.81387085032527,-0.00171
69,189.0,-23.79,29.458213725241617,-0.00197
70,200.0,-11.16,3.094217961029895,-0.00181
71,200.0,-11.19,1.6200006236032136,-0.00221
72,200.0,-11.45,1.5438238332477991,-0.00245
73,195.45,-20.66,28.34351738959577,-0.0037
74,200.0,-13.05,3.509433262374834,-0.00254
75,200.0,-11.38,2.9059978957794024,-0.00271
76,200.0,-11.64,4.103878760836132,-0.00335
77,186.18,-21.26,28.812923503655277,-0.00483
78,200.0,-12.56,3.385190998057497,-0.00355
79,200.0,-10.31,3.0119306829336665,-0.00168
80,187.25,-20.87,28.48980119219152,-0.00237
81,186.91,-20.5,27.634705768607965,-0.00384
82,200.0,-10.99,2.7350656628555714,-0.0028
83,200.0,-10.65,2.312786733990819,-0.00339
84,187.36,-20.5,29.43002003157663,-0.00222
85,200.0,-12.03,4.604662441123915,-0.00256
86,180.33,-27.25,35.23867114758941,-0.00331
87,189.09,-20.52,30.14436910683171,-0.00516
88,200.0,-12.59,1.8778528926173623,-0.00232
89,175.25,-27.77,35.505256224223366,-0.00721
90,186.58,-18.95,27.26707091323236,-0.00236
91,180.5,-27.71,37.00273507000268,-0.00251
92,200.0,-12.44,3.5864098125613553,-0.00361
93,200.0,-12.2,1.771012210830325,-0.00365
94,190.36,-21.24,27.185774327740976,-0.00323
