Iteration,Average Episodic Length,Average Episodic Return,Episodic Return STD,Average Loss
1,93.77,-251.5,132.530435013876,-0.00356
2,90.57,-170.43,90.63216579103712,-0.00214
3,98.33,-174.76,106.09926354489558,-0.00195
4,102.85,-173.9,94.6494088523442,-0.00328
5,91.3,-141.76,81.82497839770777,-0.00094
6,90.3,-120.18,51.392401072259545,-0.00124
7,94.26,-133.72,72.96878831679582,-0.00128
8,99.52,-140.21,55.91510055206806,-0.00163
9,96.27,-132.61,68.99340514264145,-0.00178
10,100.29,-110.37,74.7209632589809,-0.00232
11,98.14,-101.84,64.26831972478351,-0.00061
12,106.85,-148.4,85.84860559006684,-0.00125
13,99.95,-84.01,43.408641306255475,-0.00127
14,115.56,-164.0,93.5634346875328,-0.00239
15,106.75,-111.01,71.67386006284849,-0.00336
16,110.63,-120.32,62.525177653683265,-0.00112
17,99.05,-105.2,64.91189543754538,-0.00172
18,109.68,-86.2,87.01917311379066,-0.00065
19,114.28,-87.78,81.4342410208404,-0.00082
20,110.37,-101.85,69.87907207830781,-0.00397
21,101.76,-129.69,77.47184081930978,-0.00462
22,104.05,-77.12,43.274973595734494,-0.00052
23,104.8,-69.46,25.12233743963801,-0.00073
24,103.85,-85.45,33.08027898382914,-0.00264
25,110.26,-64.21,40.433486662715445,-0.0022
26,120.33,-88.31,52.71592117922038,-0.00191
27,135.75,-52.05,75.49922317021733,-0.00233
28,130.12,-42.37,72.44296872202281,-0.00367
29,154.21,-9.06,64.83602849778786,-0.00242
30,144.27,-43.72,75.87997899285817,-0.00148
31,156.43,-81.57,95.1452222787531,-0.00292
32,134.44,-50.79,102.8065114938809,-0.00301
33,143.67,-16.73,54.16907084179363,-0.0033
34,184.0,-21.7,52.46816257878124,-0.00179
35,185.5,6.01,48.22326217178085,-0.00248
36,168.38,40.63,43.96501506387312,-0.00199
37,178.08,1.54,111.02770667814154,-0.00117
38,176.5,55.7,71.85632827885394,-0.00206
39,172.83,31.76,53.596929848606464,-0.00186
40,175.25,29.2,59.793659331444864,-0.00156
41,188.18,43.84,48.16713259867068,-0.00123
42,198.27,41.65,47.63128205495342,-0.00048
43,193.64,46.45,64.45837080343281,-0.00149
44,199.64,69.74,43.20896868309622,-0.00287
45,190.18,88.58,48.82802176691182,-0.00197
46,198.27,63.08,34.19868591727099,-0.0025
47,182.92,66.48,36.670017624059106,-0.0024
48,200.0,74.87,26.89400851611908,-0.00094
49,200.0,76.12,43.89638789931324,-0.00063
50,187.73,61.57,45.83354485833791,-0.00223
51,200.0,71.49,23.303394454991793,-0.00063
52,200.0,67.92,29.20669731886984,-0.00121
53,199.64,50.7,83.3776541883816,-0.00607
54,200.0,77.22,19.807917151758396,-0.00171
55,196.45,73.83,47.77323920019105,-0.00231
56,192.18,96.18,46.969899901329136,-0.00295
57,200.0,93.75,28.43768582377474,-0.00353
58,200.0,95.27,23.57275906490397,-0.00107
59,200.0,102.1,15.100664827432864,-0.00097
60,200.0,97.97,24.644151304769366,-0.00168
61,200.0,80.04,21.966362045161212,-0.00041
62,200.0,59.45,10.830453561180809,-0.00082
63,200.0,77.29,19.89104008558541,-0.00153
64,200.0,88.74,23.13175321573522,-0.00149
65,200.0,107.69,23.872392649473056,-0.00157
66,200.0,106.21,12.851208035657168,-0.00028
67,200.0,100.35,22.588354848593674,-0.00188
68,200.0,96.06,28.541668109013234,-0.00124
69,198.45,95.02,35.4118737561421,-0.00218
70,200.0,93.33,19.797354401383927,-0.001
71,195.0,84.35,41.62057400584423,-0.0014
72,200.0,89.22,25.51813859117855,-0.00146
73,200.0,100.14,36.07212254844114,-0.00298
74,200.0,96.59,40.591720407857004,-0.00072
75,195.27,89.12,30.727777032522027,-0.00319
76,187.25,69.61,39.50111301361617,-0.00161
77,200.0,103.25,30.69453902205292,-0.0015
78,193.82,94.76,32.61515484721365,-0.00112
79,200.0,117.87,9.281628871977073,-0.00164
80,200.0,112.97,24.700245067317883,-0.00187
81,200.0,93.05,30.091873012985943,-0.00185
82,200.0,112.64,24.173498578392895,-0.00186
83,200.0,114.74,24.26022046011998,-0.0006
84,200.0,109.18,23.47852690611353,-0.00108
85,200.0,120.32,18.311144844412198,-0.00057
86,200.0,120.37,42.301058599709464,-0.00092
87,193.45,97.48,41.778433655486886,-0.00126
88,200.0,107.94,18.085163705858207,-0.00202
89,196.27,108.36,37.50086220624495,-0.00318
90,194.36,110.36,36.34538004293416,-0.00133
91,200.0,109.65,17.545080045773734,-0.00037
92,198.55,98.69,35.16148591486274,-0.00021
93,194.0,101.04,23.81813982256185,-0.00276
94,200.0,109.94,22.36376179156075,-0.00079
95,200.0,110.6,19.690222290869656,-0.00181
96,200.0,112.07,21.716967380399833,-0.00163
