Iteration,Average Episodic Length,Average Episodic Return,Episodic Return STD,Average Loss
1,200.0,-1246.95,181.7869772138264,-0.00309
2,200.0,-1211.9,206.3846193475262,-0.00077
3,200.0,-1271.05,200.2026731189116,-0.00028
4,200.0,-1276.28,310.2665849227913,-0.00049
5,200.0,-1257.73,275.8811779705182,-0.00049
6,200.0,-1315.61,205.48238904869086,-0.00156
7,200.0,-1210.94,203.32949552857127,-0.00088
8,200.0,-1307.79,235.4898919597628,-0.00219
9,200.0,-1271.74,258.4921625798949,-0.00036
10,200.0,-1262.95,196.6334375553428,-0.00168
11,200.0,-1222.89,72.06015779444114,-0.00011
12,200.0,-1190.42,160.4982393575389,-0.00045
13,200.0,-1221.34,211.2549334040104,-0.00051
14,200.0,-1326.26,178.38122702196526,-0.00124
15,200.0,-1317.2,248.27333425695872,-0.00085
16,200.0,-1090.93,152.73720331712016,-0.0018
17,200.0,-1214.4,210.4458906483235,-0.00038
18,200.0,-1144.55,208.68228407474464,-0.00135
19,200.0,-1079.53,264.7348623883113,-0.0004
20,200.0,-986.47,208.7119349823138,-0.00173
21,200.0,-1253.25,338.873564892911,-0.00135
22,200.0,-1142.69,282.8037437491502,-4e-05
23,200.0,-1056.08,236.97299438138162,-0.00072
24,200.0,-1224.79,309.1905362013251,-0.00052
25,200.0,-1085.34,259.1834964047264,-0.00092
26,200.0,-1184.01,285.63229072472836,-0.00098
27,200.0,-1123.35,233.8324019358407,-0.00038
28,200.0,-1314.07,302.5738181081182,-0.00203
29,200.0,-1139.13,247.0915594772569,-0.00092
30,200.0,-1201.54,204.431322040208,-0.00014
31,200.0,-1119.44,125.17110060844075,-0.00108
32,200.0,-1109.36,190.8331641096223,-0.00119
33,200.0,-1129.06,232.06311458711508,-0.00086
34,200.0,-1120.31,196.51083143638473,-0.00048
35,200.0,-1102.83,127.26092842635578,-0.00091
36,200.0,-1093.05,99.23809238037123,-0.00212
37,200.0,-1137.98,191.9695001799113,-0.0006
38,200.0,-1112.53,116.87437406311317,-0.00078
39,200.0,-1155.32,163.29169312135977,-0.00034
40,200.0,-1093.11,116.30833080080593,-0.00053
41,200.0,-1049.91,82.40954777756485,-0.00045
42,200.0,-1171.91,174.62200246487737,-0.00118
43,200.0,-1222.92,121.18510738083224,-0.00067
44,200.0,-1174.57,129.03433871087523,-0.00091
45,200.0,-1174.47,80.54600116684432,-0.00118
46,200.0,-1160.3,76.62769646294998,-0.00114
47,200.0,-1178.28,109.6465246593254,-0.00073
48,200.0,-1168.37,166.0220965843632,-0.00091
49,200.0,-1149.32,38.535054910681744,-0.00147
50,200.0,-1127.69,56.56749893291728,-0.00048
51,200.0,-1166.63,200.72949416368635,-0.00081
52,200.0,-1234.12,185.65264573981685,-0.00041
53,200.0,-1039.11,85.52776065141255,-0.00024
54,200.0,-1008.99,69.65713965749708,-0.00094
55,200.0,-1185.32,198.07568840837598,-0.00088
56,200.0,-1127.21,244.63322804777084,-0.00091
57,200.0,-1175.82,196.42719086936097,-0.00068
58,200.0,-1265.07,228.72863054626959,-0.00038
59,200.0,-1083.0,149.87066920878854,-0.00071
60,200.0,-1157.13,171.06348775161595,-0.0004
61,200.0,-1221.45,274.9936059551361,-0.00147
62,200.0,-1120.82,169.9403025317673,-0.0004
63,200.0,-1179.64,188.17801949591728,-0.00052
64,200.0,-1158.0,214.0262011298678,-0.00051
65,200.0,-1170.87,234.43607058820172,-0.00076
66,200.0,-1152.25,167.74534975899215,-0.00174
67,200.0,-1153.85,188.56709859877506,-0.00053
68,200.0,-1098.32,83.57251747948051,-0.00029
69,200.0,-1162.08,168.26459538626236,-0.00035
70,200.0,-1198.74,296.5092224513739,-0.0005
71,200.0,-1187.21,210.79838590859111,-0.0016
72,200.0,-1035.64,111.22176071639929,-0.00026
73,200.0,-1105.68,202.8152345442232,-0.00044
74,200.0,-1044.1,208.59772888427412,-0.00053
75,200.0,-1101.44,270.7799639686807,-0.0015
76,200.0,-998.6,184.6014298711003,-0.00062
77,200.0,-966.21,102.777363081514,-0.00059
78,200.0,-1182.68,230.85555841588211,-0.00074
79,200.0,-1031.05,179.8282170237268,-0.00042
80,200.0,-1046.23,169.8563650519839,-0.00062
81,200.0,-1054.75,271.71031783750203,-0.00059
82,200.0,-1074.6,242.10293297267944,-0.00038
83,200.0,-1110.06,193.66158595923238,-0.00157
84,200.0,-1131.78,216.0200667699077,-0.00093
85,200.0,-1178.63,263.97037118187336,-0.00015
86,200.0,-1078.41,198.30131480249958,-0.00178
87,200.0,-1205.24,208.607811925412,2e-05
88,200.0,-1250.31,272.1859085807844,-0.00046
89,200.0,-987.87,233.73550632823884,-0.00014
90,200.0,-1143.34,234.50658744215426,-0.00106
91,200.0,-961.24,128.4225245820367,-0.00099
92,200.0,-1053.53,201.60397828604573,-0.00092
93,200.0,-1141.98,192.84236735374984,-0.00076
94,200.0,-1010.46,126.00588274109147,-0.00044
95,200.0,-1105.37,187.5177458943503,-0.00053
96,200.0,-1174.19,213.33931243601506,-3e-05
97,200.0,-1066.14,213.44611044427546,-0.00186
98,200.0,-1048.88,183.3241252793061,-0.00065
99,200.0,-1081.99,192.39111546546675,-0.00063
100,200.0,-1082.62,196.98255488022613,-0.00099
101,200.0,-1044.7,217.033837708071,-0.00122
102,200.0,-1029.96,109.81223120972986,-0.00017
103,200.0,-1193.39,208.00681456086465,-0.0007
104,200.0,-1082.77,211.8618404131252,-0.00079
105,200.0,-1037.4,222.0882336192129,-0.00108
106,200.0,-1123.69,235.0209039513833,-0.00084
107,200.0,-1190.6,213.04293167501567,-0.0018
108,200.0,-1151.67,259.17510639478985,-0.00049
109,200.0,-1177.96,282.7271011745707,-0.00035
110,200.0,-1040.65,255.91667752924994,-0.00192
111,200.0,-1077.39,259.8242950889337,-0.00061
112,200.0,-984.75,181.06369628822407,-0.00115
113,200.0,-1025.23,140.32253839584686,-0.00057
114,200.0,-985.78,174.13244017086825,-0.00056
115,200.0,-1082.88,171.90463556624223,-0.00115
116,200.0,-1074.15,177.55942006700954,-0.00082
117,200.0,-1123.22,142.74102710920525,-0.00062
118,200.0,-1002.32,114.04890961380467,-0.00114
119,200.0,-945.6,127.01329279958121,-0.00122
120,200.0,-959.71,102.66066999990741,-0.00185
121,200.0,-1135.46,211.8331087948688,-0.00089
122,200.0,-1087.72,202.71603901765255,-0.00051
123,200.0,-1042.51,113.62256606344624,-0.00125
124,200.0,-1106.87,225.23396313599017,-0.00087
125,200.0,-1111.69,166.22522324957006,-0.00096
126,200.0,-1062.27,85.54105809211464,-0.00154
127,200.0,-1137.69,72.55008198521725,-0.00092
128,200.0,-1131.6,66.82170602452175,-0.00075
129,200.0,-1107.21,148.22777021081941,-0.00051
130,200.0,-1075.22,66.85100337757902,-0.00147
131,200.0,-1079.36,68.4570081184591,-0.00113
132,200.0,-1141.13,82.08712268945482,-0.00096
133,200.0,-1098.28,91.64622814256738,-0.00098
134,200.0,-1214.33,89.40532872940219,-0.00057
135,200.0,-1146.46,67.2462869913082,-0.00109
136,200.0,-1099.44,82.58798107514738,-0.00022
137,200.0,-1182.04,69.13247236323116,-0.00284
138,200.0,-1178.79,71.02889735500572,-0.00032
139,200.0,-1161.23,59.45237322208211,-0.00024
140,200.0,-1205.78,44.69964665905503,-0.00286
141,200.0,-1190.92,38.431999464743065,-0.00078
142,200.0,-1200.17,43.07323345116342,-0.00218
143,200.0,-1231.49,51.776273362188874,-0.00102
144,200.0,-1197.48,57.869643132998284,-0.00099
145,200.0,-1207.95,51.953721511005966,-0.00024
146,200.0,-1226.49,50.13875681778479,-0.0006
147,200.0,-1213.56,51.48210421431709,-0.00132
